id,moonNumber,kingdom,moonName,,
43,43,Mushroom,"Princess Peach, Home Again!","Once you have talked to Peach in every kingdom she visits, head up to the balcony of the castle and Peach will be waiting, talk to her to get this moon",
44,44,Mushroom,Rescue Princess Peach,This moon is unlocked when you beat the game and talk to toadette,
45,45,Mushroom,Achieve World Peace,This moon is given by toadette one you have achieved peace in all kingdoms,
46,46,Mushroom,Power Moon Knight,This moon is given by toadette one you have collected 100 power moons,
47,47,Mushroom,Power Moon Wizard,This moon is given by toadette one you have collected 300 power moons, 
48,48,Mushroom,Power Moon Ruler,This moon is given by toadette one you have collected 600 power moons,
49,49,Mushroom,Regional Coin Shopper,This moon is given by toadette one you have bought 13 things using purple coins,
50,50,Mushroom,Flat Moon Finder,This moon is given by toadette one you have collected 10 8-bit moons,
51,51,Mushroom,Flat Moon Fanatic,This moon is given by toadette one you have collected 20 8-bit moons,
52,52,Mushroom,Treasure Chest Hunter,This moon is given by toadette one you have collected 15 moons from chests,
53,53,Mushroom,Super Treasure Chest Hunter,This moon is given by toadette one you have collected 25 moons from chests,
54,54,Mushroom,Note-Collecting World Tour,This moon is given by toadette one you have collected 5 notes moons,
55,55,Mushroom,Note-Collecting Space Tour,This moon is given by toadette one you have collected 20 notes moons,
56,56,Mushroom,Timer Challenge Amateur,This moon is given by toadette one you have collected 10 timer challenge moons,
57,57,Mushroom,Timer Challenge Professional,This moon is given by toadette one you have collected 25 timer challenge moons,
58,58,Mushroom,Captain Toad Meeter,This moon is given by toadette one you have collected 5 captain toad moons,
59,59,Mushroom,Captain Toad Greeter,This moon is given by toadette one you have collected 10 captain toad moons,
60,60,Mushroom,Touring with Princess Peach,This moon is given by toadette one you have collected 5 Peach moons,
61,61,Mushroom,Globe-Trotting with Princess Peach,This moon is given by toadette one you have collected 10 Peace moons,
62,62,Mushroom,Master Sheep Herder,This moon is given by toadette one you have collected 4 sheep hearding moons,
63,63,Mushroom,Gaga for Goombette,This moon is given by toadette one you have collected 5 Goombette moons,
64,64,Mushroom,Lakitu Fishing Trip,This moon is given by toadette one you have collected 3 fishing moons,
65,65,Mushroom,Flower-Growing Guru,This moon is given by toadette one you have collected 5 seed moons,
66,66,Mushroom,Flower-Growing Sage,This moon is given by toadette one you have collected 10 seed moons,
67,67,Mushroom,Running with Rabbits,This moon is given by toadette one you have collected 5 rabbit moons,
68,68,Mushroom,Racing with Rabbits,This moon is given by toadette one you have collected 10 rabbit moons,
69,69,Mushroom,Ground Pound Instructor,This moon is given by toadette one you have collected 15 ground pound moons,
70,70,Mushroom,Ground Pound Professor,This moon is given by toadette one you have collected 45 ground pound moons,
71,71,Mushroom,Rad Hatter,This moon is given by toadette one you have collected 3 moons by throwing cappy on things,
72,72,Mushroom,Super Rad Hatter,This moon is given by toadette one you have collected 10 moons by throwing cappy on things,
73,73,Mushroom,Traveling-Bird Herder,This moon is given by toadette one you have collected 5 bird moons,
74,74,Mushroom,Wearing It Well!,This moon is given by toadette one you have collected 3 outfit moons,
75,75,Mushroom,Wearing It Great!,This moon is given by toadette one you have collected 8 outfit moons,
76,76,Mushroom,Wearing It Perfect!,This moon is given by toadette one you have collected 15 outfit moons,
77,77,Mushroom,Hat-Seeking Missile,This moon is given by toadette one you have collected 5 Happy Cappy moons,
78,78,Mushroom,Music Maestro,This moon is given by toadette one you have collected 5 music toad moons,
79,79,Mushroom,Art Enthusiast,This moon is given by toadette one you have collected 5 hint art moons,
80,80,Mushroom,Art Investigator,This moon is given by toadette one you have collected 15 hint art moons,
81,81,Mushroom,Slots Machine,This moon is given by toadette one you have collected 3 slots moons,
82,82,Mushroom,Koopa Freerunning MVP,This moon is given by toadette one you have collected 10 koopa freerunning moons,
83,83,Mushroom,Koopa Freerunning Hall of Famer,This moon is given by toadette one you have collected 22 koopa freerunning moons,
84,84,Mushroom,Supernaturally Sure-Footed,This moon is given by toadette one you have collected 5 koopa trace walking moons,
85,85,Mushroom,Quizmaster,This moon is given by toadette one you have collected 3 sphynx moons,
86,86,Mushroom,Souvenir Sampler,This moon is given by toadette one you have collected 10 souvenirs and stickers,
87,87,Mushroom,Souvenir Sleuth,This moon is given by toadette one you have collected 20 souvenirs and stickers,
88,88,Mushroom,Souvenir Savant,This moon is given by toadette one you have collected 40 souvenirs and stickers,
89,89,Mushroom,Capturing Novice,This moon is given by toadette one you have captured 20 things,
90,90,Mushroom,Capturing Apprentice,This moon is given by toadette one you have captured 35 things ,
91,91,Mushroom,Capturing Master,This moon is given by toadette one you have captured 45 things ,
92,92,Mushroom,Hat Maven,This moon is given by toadette one you have collected 15 hats,
93,93,Mushroom,Hat Icon,This moon is given by toadette one you have collected 35 hats,
94,94,Mushroom,Fashion Maven,This moon is given by toadette one you have collected 15 outfits,
95,95,Mushroom,Fashion Icon,This moon is given by toadette one you have collected 35 outfits,
96,96,Mushroom,Moon Rock Liberator,This moon is given by toadette one you have opened 14 moon rocks,
97,97,Mushroom,World Warper,This moon is given by toadette one you have gone through 10 paintings,
98,98,Mushroom,Checkpoint Flagger,This moon is given by toadette one you have collected 40 checkpoints,
99,99,Mushroom,Checkpoint Flag Enthusiast,This moon is given by toadette one you have collected 80 checkpoints,
100,100,Mushroom,Loaded with Coins,This moon is given by toadette one you have collected 1000 coins total,
101,101,Mushroom,Rolling in Coins,This moon is given by toadette one you have collected 5000 coins total,
102,102,Mushroom,Swimming in Coins,"This moon is given by toadette one you have collected 10,000 coins total",
103,103,Mushroom,Jump! Jump! Jump!,"This moon is given by toadette one you have jumped 10,000 times",
104,104,Mushroom,"Fly, Cappy, Fly!",This moon is given by toadette one you have thrown cappy 5000 times,
105,1,Cap,Frog-Jumping Above the Fog,This Moon is towards the bottom of cap kingdom and is acquired by capturing a frog and knocking open an invisible block,
106,2,Cap,Frog-Jumping from the Top Deck,This Moon is towards the bottom the central plaza part of the kingdom and is acquired by capturing a frog and jumping on top of one of the little hat houses,
107,3,Cap,Cap Kingdom Timer Challenge 1,This Moon is started by activating the scarecrow towards the right side of the horizontal bridge towards the top of the kingdom,
108,4,Cap,"Good Evening, Captain Toad!",This Moon is can be found atop the Top Hat Tower,
109,5,Cap,Shopping in Bonneton,This Moon is located in the middle of the central plaza at the shop,
110,6,Cap,Skimming the Poison Tide,"This Moon is located in the cap door behind and below Top Hat Tower.\nThis moon is the shards moon, NOT the secret moon",
111,7,Cap,Slipping Through the Poison Tide,"This Moon is located in the cap door behind and below Top Hat Tower.\nThis moon is the secret moon, NOT the shards moon",
112,8,Cap,Push-Block Peril,"This Moon is located in the cap door on the north side of Top Hat Tower.\nThis moon is the main moon, NOT the secret moon",
113,9,Cap,Hidden Among the Push-Blocks,"This Moon is located in the cap door on the north side of Top Hat Tower.\nThis moon is the secret moon hidden in one of the moving blocks, NOT the main moon",
114,10,Cap,Searching the Frog Pond,"This Moon is located in the cap door on the north side of the central plaza.\nThis moon is the main moon, NOT the secret moon",
115,11,Cap,Secrets of the Frog Pond,"This Moon is located in the cap door on the north side of the central plaza.\nThis moon is the main shards moon, NOT the secret moon",
116,12,Cap,The Forgotten Treasure,"This Moon is located in the cap door on the north side of the central plaza.\nThis moon is the secret moon at the top of the room, NOT the main moon",
117,13,Cap,Taxi Flying Through Bonneton,This Moon is activated by capturing the binoculars on the north side of central plaza and looking at the taxi flying in the sky,
118,14,Cap,Bonneter Blockade,This Moon is towards the bottom right side of the central plaza and is acquired by capturing a paragoomba and scaring away the bonneter blocking the moon,
119,15,Cap,Cap Kingdom Regular Cup,This is the first koopa freerunning moon,
120,16,Cap,Peach in the Cap Kingdom,This moon can be found on the north size of the central plaza and can be acquired by talking to peach,
121,17,Cap,Found with Cap Kingdom Art,This moon can be found in Moon Kingdom by viewing the hint art on the side of the steps heading towards the north bridge. This moon is then acquired by groundpounding next to the collection of NPC's in post game Moon kingdom that are staring at earth,
122,18,Cap,Next to Glasses Bridge,This moon can be found next to the bridge in the middle of the kingdom. Jump off the west side of the bridge and you should see it on top of a top hat building,
123,19,Cap,Danger Sign,This moon can be found far on the west side of the kingdom and can be acquired by capturing a paragoomba and flying out to the danger sign,
124,20,Cap,Under the Big One's Brim,This moon can be found under the brim of the Top Hat Tower and can be aquired by heading up to the top via warp or through the room then looking over the edge slight to the North West,
125,21,Cap,Fly to the Edge of the Fog,This moon can be found all the way out at the far north east part of the kingdom and can be acquired by jumping off Top Hat Tower or capturing a paragoomba and flying over,
126,22,Cap,"Spin the Hat, Get a Prize",This moon can be activated on the bottom side of the central plaza by throwing cappy at the glowing Top Hat on the top of the arch,
127,23,Cap,Hidden in a Sunken Hat,"This moon can be activated out the south east side of the central plaza capturing a paragoomba and flying out to the Top Hat building with a glowing top piece, then throwing and holding cappy ontop of it",
128,24,Cap,Fog-Shrouded Platform,This moon can be found over the edge of the north side of the central plaza. Groundpound the glowing spot of the platform to activate the moon,
129,25,Cap,Bird Traveling in the Fog,This moon can be found all over the kingdom as the bird is on a cycle and will fly around the kingdom. This moon can be acquired by capturing a paragoomba and catching it,
130,26,Cap,Caught Hopping Near the Ship!,This moon can be found on the hill north of the odyssey. Capture the bunny to get the moon,
131,27,Cap,Taking Notes: In the Fog,"This moon can be found on the west side of the kingdom and can be acquired by capturing a paragoomba and flying out to the building with the music night, then flying along and collecting all the music notes",
132,28,Cap,Cap Kingdom Timer Challenge 2,"This moon can be activated by throwing cappy on the scarecrow on the south east side of the central plaza, then grabbing the key to unlock the moon",
133,29,Cap,Cap Kingdom Master Cup,This is the second koopa freerunning moon,
134,30,Cap,Roll On and On,"This is the moon at the end of the moon pipe moon found in the north west side of the central plaza, this is NOT the 'secret' moon",
135,31,Cap,Precision Rolling,"This is the moon found along the side path of the moon pipe moon found in the north west side of the central plaza, this is the 'secret' moon",
136,1,Cascade,Our First Power Moon,"This is the first moon you get in the game, if you're genuinely missing this you're either on 1.0 and pulled a no no, or you miss clicked... which one is it",
137,2,Cascade,Multi Moon Atop the Falls,This is the mulimoon you obtain when you beat madame broode at the top of the kingdom,
138,3,Cascade,Chomp Through the Rocks,This moon can be found behind a rock wall and is accessible by capturing a chain chomp and knocking it open. It can be found north of where the t-rex is sleeping,
139,4,Cascade,Behind the Waterfall,This moon is found in the 8-bit section which is accessible by breaking open the big rock. Once inside you can reveal a hidden block along the left side then follow the path along to get the moon,
140,5,Cascade,On Top of the Rubble,This moon is found on some rubble north of the odyssey (in its revist location) along the east side of the kingdom,
141,6,Cascade,Treasure of the Waterfall Basin,This moon is found in a chest in a little alcove near the bridge in the middle of the kingdom,
142,7,Cascade,Above a High Cliff,This moon is found on top of the small cliff on the southern side of the west half of the kingdom,
143,8,Cascade,Across the Floating Isles,This moon can be found on the top section of the kingdom at the end of the floating islands on the north west side of the kingdom,
144,9,Cascade,Cascade Kingdom Timer Challenge 1,This moon can be acquired by activating the scarecrow right beside the bridge on the lower half of the kingdom,
145,10,Cascade,Cascade Kingdom Timer Challenge 2,"This moon can be acquired by activating the scarecrow on the top part of the kingdom, in the Madame Broode arena",
146,11,Cascade,"Good Morning, Captain Toad!",Captain toad can be found hanging out on a little platform off the top section of the kingdom. Head to the south west side of the arena and look down,
147,12,Cascade,Dinosaur Nest: Big Cleanup!,This moon can be found in the cap door on the south side of the west island. It can be acquired by going around and killing all of the Burrbo's ,
148,13,Cascade,Dinosaur Nest: Running Wild!,"This moon can be found in the cap door on the south side of the west island. It can be acquired by capturing the dino, heading off the far back ledge and breaking open one of the rocks to unlock the secret moon",
149,14,Cascade,Nice Shot with the Chain Chomp!,This moon can be found in the green pipe along the bottom path on the far north west side of the kingdom. This moon is the normal moon found simply at the end of the subarea,
150,15,Cascade,Very Nice Shot with the Chain Chomp!,This moon can be found in the green pipe along the bottom path on the far north west side of the kingdom. This moon is the secret moon which can be found in the room just past where you get the first main moon of the subarea,
151,16,Cascade,Past the Chasm Lifts,This moon is found in the cap door under the bridge at the northern back side of the kingdom. This moon is the normal moon found simply at the end of the subarea,
152,17,Cascade,Hidden Chasm Passage,This moon is found in the cap door under the bridge at the northern back side of the kingdom. This moon is the secret moon which can be found by riding one of the lifts (just before the final pipe of the subarea) to the top and running along the roof,
153,18,Cascade,Secret Path to Fossil Falls!,This moon is the painting moon which (in the case of an All Moons/100% run) can be grabbed by heading through the cascade painting in Seaside kingdom,
154,19,Cascade,A Tourist in the Cascade Kingdom,This moon is acquired by talking to the tourist who can be found near the taxi north of the odyssey (in its revisit location),
155,20,Cascade,Rolling Rock by the Falls,This moon is acquired by breaking open the glowing moon in the central part of the kingdom (where the odyssey is originally at the beginning of the game). Can be quickly broken by attacking it with the dino or by throwing it in water,
156,21,Cascade,Peach in the Cascade Kingdom,This moon is acquired by talking to peach on the top side of the kingdom right by the exit of the 8-bit section,
157,22,Cascade,Cascade Kingdom Regular Cup,This moon is the first koopa freerunning moon,
158,23,Cascade,Caveman Cave-Fan,This moon is the second koopa freerunning mood,
159,24,Cascade,Shopping in Fossil Falls,This moon can be bought at the shop on the bottom north side of the kingdom,
160,25,Cascade,Sphynx Traveling to the Waterfall,"This moon can be acquired by capturing the binoculars on the very south side of the kingdom, then zooming in and looking at the sphynx",
161,26,Cascade,Bottom of the Waterfall Basin,This moon can be activated by groundpounding the glowing spot under water underneath the bridge in the centre of the kingdom,
162,27,Cascade,"Just a Hat, Skip, and a Jump",This moon can be found on the far east side of the back  section of the kingdom and requires you to activate some floating clouds to reach,
163,28,Cascade,Treasure Under the Cliff,This moon can be found at the back side of the kingdom near the bridge with all the Burrbos look up and against the wall and you should see it floating above some of the activatable clouds,
164,29,Cascade,Next to the Stone Arch,"This moon can be found next to the bridge at the very top of the kingdom, look along the front side and you should see it floating over the edge",
165,30,Cascade,Guarded by a Colossal Fossil,This moon can be activated by holding cappy on the horn of the dinosaur skull at the top of the kingdom near the waterfall,
166,31,Cascade,Under the Old Electrical Pole,"This moon requires you to capture the dinosaur, then bring it all the way back to the odyssey to knock the electrical pole. Once you've done so you can groundpound where it was to activate the moon",
167,32,Cascade,Under the Ground,"This moon requires you to capture the dinosaur, then immidiately turn to your right and break the blocks directly next to the dinosaur. Then move the dino out of the way and groundpound the glowing spot to activate the moon",
168,33,Cascade,Inside the Busted Fossil,"This moon is found at the top of the kingdom near the electrical wire/peach. Capture the chain chomp closest to the fossils near the waterfall, aim the chomp at the fossil near the electrical wire and when lined up properly, release to break open the fossil",
169,34,Cascade,Caught Hopping at the Waterfall!,This moon is acquired by catching the bunny which can be found near the shop,
170,35,Cascade,Taking Notes: Hurry Upward,"This moon is acquired by entering the 2d section at the back of the kingdom, activating the music notes and collecting them all",
171,36,Cascade,Cascade Kingdom Master Cup,This moon is the second koopa freerunning moon,
172,37,Cascade,Across the Mysterious Clouds,This moon can be found in the moon pipe towards the back side of the kingdom. This moon is acquired by making your way to the end of the subarea and collecting it,
173,38,Cascade,Atop a Wall Among the Clouds,This moon can be found in the moon pipe towards the back side of the kingdom. This moon can be found on top of the first wall along the left side of the subarea,
174,39,Cascade,Across the Gusty Bridges,"This moon can be found in the moon pipe around the centre of the kingdom, where the odyssey is first found in the beginning of the game. This moon can be acquired by making your way to the end of the subarea and collecting it",
175,40,Cascade,Flying Far Away from Gusty Bridges,"This moon can be found in the moon pipe around the centre of the kingdom, where the odyssey is first found in the beginning of the game. This moon can be acquired by making your way to the left side of the subarea, throwing cappy into the boost at the right time to grab the lever at the end of the whirlwinds",
176,1,Sand,Atop the Highest Tower,"This moon is one of Sand Kingdom's story moons, found at the top of the 2d tower in the centre of the kingdom",
177,2,Sand,Moon Shards in the Sand,"This moon is one of Sand Kingdom's story moons, found on the west island. Go around and collect all the shards to spawn the moon",
178,3,Sand,Showdown on the Inverted Pyramid,"This moon is one of Sand Kingdom's story moons, given to you after the hariet boss fight at the top of the inverted pyramid",
179,4,Sand,The Hole in the Desert,"This moon is one of Sand Kingdom's story moons, given to you after the Knucklotec boss fight at the end of the hole where the inverted pyramid use to be",
180,5,Sand,Overlooking the Desert Town,This moon can be found in the town near the beginning of the kingdom. It can be found at the top of one of the buildings near the last electrical pole,
181,6,Sand,Alcove in the Ruins,This moon can be found in the ruin area in the middle of the kingdom. Underneath where the bullet bill spawns is a little alcove area where you will find this moon,
182,7,Sand,On the Leaning Pillar,This moon can be found on a small pillar east of the ruins area just before the poison lake,
183,8,Sand,Hidden Room in the Flowing Sands,"This moon can be found in the most northern part of the quicksand portion of the ruins. Look along the west wall and you should see a segment that is raised above the sand. Sink just below this line while moving towards it, then start jumping once you're under it. You will then be in a small hidden room with the moon",
184,9,Sand,Secret of the Mural,"This moon can be found in the 2d tower in the centre of the kingdom. Make your way to the top of the 2d section but just before jumping up and out of the 2d section, head directly left instead to find a secret area where you will find the moon",
185,10,Sand,Secret of the Inverted Mural,"This moon is the secret moon in the 2d section of the inverted pyramid that goes around the outside. Just before you head through the final pipe, continue heading left where you will find a secret area and the moon",
186,11,Sand,On Top of the Stone Archway,"This  moon can be found on top of the archway that acts as the entrance to the ruins area. You can reach the top by either exiting out of the electrical wire, jumping off one of the ice pillars towards the side or making your way over with the bullet bill",
187,12,Sand,From a Crate in the Ruins,This moon can be activated by breaking open the glowing crate next to the bullet bill spawner in the centre of the ruins,
188,13,Sand,On the Lone Pillar,This moon is found on the lone pillar on the east side of the kingdom and can be reached by either a bullet bill or by grabbing glydon at the top of the kingdom ,
189,14,Sand,On the Statue's Tail,"This moon can be activated by throwing cappy at the tail of one of the statues on top of the inverted period, on the north west side",
190,15,Sand,Hang Your Hat on the Fountain,This moon can be activated by throwing cappy at the top of the water foundain in the centre of the town near the beginning of the kingdom,
191,16,Sand,Where the Birds Gather,This moon can be activated by groundpounding the mound of sand on the eastern side of the little oasis area found to the east of the town near the beginning of the kingdom,
192,17,Sand,Top of a Dune,This moon can be activated by groundpounding the top of the big hill found north west of the town near the beginning of the kingdom.,
193,18,Sand,Lost in the Luggage,This moon can be activated by groundpounding the glowing spot of the ground found near a bunch of luggage to the east of and near the inverted pyramid,
194,19,Sand,Bullet Bill Breakthrough,"This moon can be acquired by capturing a bullet bill in the lower south east part of the ruins, then heading east you will find a hole in the wall. Head through the hole and break open the cage to grab the moon",
195,20,Sand,Inside a Block Is a Hard Place,"This moon can be acquired by capturing a bullet bill in the lower south east part of the ruins, then bringing it over and crashing it into the glowing block in the bottom south east corner of the ruins",
196,21,Sand,Bird Traveling the Desert,,
197,22,Sand,Bird Traveling the Wastes,,
198,23,Sand,The Lurker Under the Stone,,
199,24,Sand,The Treasure of Jaxi Ruins,,
200,25,Sand,Desert Gardening: Plaza Seed,,
201,26,Sand,Desert Gardening: Ruins Seed,,
202,27,Sand,Desert Gardening: Seed on the Cliff,,
203,28,Sand,Sand Kingdom Timer Challenge 1,,
204,29,Sand,Sand Kingdom Timer Challenge 2,,
205,30,Sand,Sand Kingdom Timer Challenge 3,,
206,31,Sand,Found in the Sand! Good Dog!,,
207,32,Sand,Taking Notes: Jump on the Palm,,
208,33,Sand,Herding Sheep in the Dunes,,
209,34,Sand,Fishing in the Oasis,,
210,35,Sand,Love in the Heart of the Desert,,
211,36,Sand,Among the Five Cactuses,,
212,37,Sand,"You're Quite a Catch, Captain Toad!",,
213,38,Sand,Jaxi Reunion!,,
214,39,Sand,"Welcome Back, Jaxi!",,
215,40,Sand,Wandering Cactus,,
216,41,Sand,Sand Quiz: Wonderful!,,
217,42,Sand,Shopping in Tostarena,,
218,43,Sand,Employees Only,,
219,44,Sand,Sand Kingdom Slots,,
220,45,Sand,Walking the Desert!,,
221,46,Sand,Hidden Room in the Inverted Pyramid,,
222,47,Sand,Underground Treasure Chest,,
223,48,Sand,Goomba Tower Assembly,,
224,49,Sand,Under the Mummy's Curse,,
225,50,Sand,Ice Cave Treasure,,
226,51,Sand,Sphynx's Treasure Vault,,
227,52,Sand,A Rumble from the Sandy Floor,,
228,53,Sand,Dancing with New Friends,,
229,54,Sand,The Invisible Maze,,
230,55,Sand,Skull Sign in the Transparent Maze,,
231,56,Sand,The Bullet Bill Maze: Break Through!,,
232,57,Sand,The Bullet Bill Maze: Side Path,,
233,58,Sand,Jaxi Driver,,
234,59,Sand,Jaxi Stunt Driving,,
235,60,Sand,Strange Neighborhood,,
236,61,Sand,Above a Strange Neighborhood,,
237,62,Sand,Secret Path to Tostarena!,,
238,63,Sand,Found with Sand Kingdom Art,,
239,64,Sand,Jammin' in the Sand Kingdom,,
240,65,Sand,Hat-and-Seek: In the Sand,,
241,66,Sand,Sand Kingdom Regular Cup,,
242,67,Sand,Binding Band Returned,,
243,68,Sand,'Round-the-World Tourist,,
244,69,Sand,Peach in the Sand Kingdom,,
245,70,Sand,Mighty Leap from the Palm Tree!,,
246,71,Sand,On the North Pillar,,
247,72,Sand,Into the Flowing Sands,,
248,73,Sand,In the Skies Above the Canyon,,
249,74,Sand,Island in the Poison Swamp,,
250,75,Sand,An Invisible Gleam,,
251,76,Sand,On the Eastern Pillar,,
252,77,Sand,Caught Hopping in the Desert!,,
253,78,Sand,Poster Cleanup,,
254,79,Sand,Taking Notes: Running Down,,
255,80,Sand,Taking Notes: In the Wall Painting,,
256,81,Sand,Love at the Edge of the Desert,,
257,82,Sand,More Walking in the Desert!,,
258,83,Sand,Sand Kingdom Master Cup,,
259,84,Sand,Where the Transparent Platforms End,,
260,85,Sand,Jump Onto the Transparent Lift,,
261,86,Sand,Colossal Ruins: Dash! Jump!,,
262,87,Sand,Sinking Colossal Ruins: Hurry!,,
263,88,Sand,Through the Freezing Waterway,,
264,89,Sand,Freezing Waterway: Hidden Room,,
265,1,Lake,Broodals Over the Lake,,
266,2,Lake,Dorrie-Back Rider,,
267,3,Lake,Cheep Cheep Crossing,,
268,4,Lake,End of the Hidden Passage,,
269,5,Lake,What's in the Box?,,
270,6,Lake,On the Lakeshore,,
271,7,Lake,From the Broken Pillar,,
272,8,Lake,Treasure in the Spiky Waterway,,
